repositorio,loc_total,comentarios_total,cbo_total,dit_total,lcom_total,arquivos_java,loc_media_por_arquivo,comentarios_media_por_arquivo
JustAuth,6054,15738,1091,266,2571,198,30.58,79.48
JavaSourceCodeLearning,6045,3133,905,399,995,317,19.07,9.88
SpringAll,6035,1503,1982,420,1417,378,15.97,3.98
Spring-Cloud-Platform,6014,3526,865,249,10204,177,33.98,19.92
MVPArms,5986,6980,990,191,4783,149,40.17,46.85
useful-java-links,5967,2138,606,269,482,263,22.69,8.13
StylishMusicPlayer,5777,2215,975,254,2564,194,29.78,11.42
ListViewAnimations,5697,7539,887,282,1433,137,41.58,55.03
socket.io-client-java,5639,2483,440,251,974,229,24.62,10.84
springcloud-learning,5631,1459,1099,230,19322,225,25.03,6.48
cim,5622,2268,986,259,1159,202,27.83,11.23
interviews,5621,3652,307,258,75,257,21.87,14.21
android-Ultra-Pull-To-Refresh,5476,2893,653,228,3082,161,34.01,17.97
awaitility,5473,5976,540,203,3159,170,32.19,35.15
BGARefreshLayout-Android,5450,4024,834,228,1587,162,33.64,24.84
Conductor,5385,4198,471,116,6135,86,62.62,48.81
MagicaSakura,5367,1668,697,141,2137,84,63.89,19.86
freeline,5357,2195,513,217,1872,135,39.68,16.26
shopping-management-system,5353,1074,341,132,7404,97,55.19,11.07
dynamic-datasource,5290,4970,910,203,420,178,29.72,27.92
Play-with-Algorithms,5287,1479,385,134,692,133,39.75,11.12
EventBus,5269,3590,627,336,1657,183,28.79,19.62
IoT-Technical-Guide,5235,1354,1201,367,930,294,17.81,4.61
RichText,5185,2492,564,191,1392,132,39.28,18.88
zxing-android-embedded,5169,4889,522,131,2104,96,53.84,50.93
XRecyclerView,5151,1729,649,236,1501,166,31.03,10.42
Bolts-Android,5144,10129,474,172,3004,158,32.56,64.11
concurrency-limits,5131,3359,590,164,1060,128,40.09,26.24
epic,5127,1852,481,242,4529,149,34.41,12.43
joyagent-jdgenie,5079,2839,647,149,580,135,37.62,21.03
android-volley,4965,7578,672,250,2088,132,37.61,57.41
aurora,4956,45,2179,334,2170,299,16.58,0.15
easy-rules,4857,5839,825,213,1236,162,29.98,36.04
retrolambda,4848,4222,594,339,2161,240,20.2,17.59
u2020,4806,4890,833,191,3165,134,35.87,36.49
reflections,4782,2491,546,227,2691,197,24.27,12.64
crawler4j,4736,3554,438,109,4639,83,57.06,42.82
FastBle,4713,698,460,136,2737,105,44.89,6.65
uCrop,4707,3048,488,105,2226,77,61.13,39.58
ChatKit,4680,12257,623,313,3832,108,43.33,113.49
Android-Image-Cropper,4655,11157,309,55,2815,40,116.38,278.92
dddsample-core,4639,1487,1113,177,1104,157,29.55,9.47
walle,4633,8324,296,112,817,94,49.29,88.55
CC,4599,2621,596,151,1958,120,38.33,21.84
haven,4561,1848,539,110,930,79,57.73,23.39
novel,4544,4367,892,216,4138,202,22.5,21.62
MagicIndicator,4533,433,515,138,2775,103,44.01,4.2
Sui,4514,2270,439,105,1295,89,50.72,25.51
JiaoZiVideoPlayer,4511,408,502,146,3908,69,65.38,5.91
AndPermission,4486,4360,671,196,1258,168,26.7,25.95
spring-boot-examples,4461,569,1451,315,1545,307,14.53,1.85
spring-boot-starter,4431,6314,791,214,2831,175,25.32,36.08
LoadingDrawable,4428,564,423,94,1029,65,68.12,8.68
Android-PickerView,4421,4106,339,105,1410,91,48.58,45.12
leetcode,4414,957,421,165,55,164,26.91,5.84
JCSprout,4399,2690,318,177,286,162,27.15,16.6
gnirehtet,4330,1660,305,96,1158,81,53.46,20.49
brigadier,4312,754,564,98,3787,85,50.73,8.87
spruce-android,4269,11841,593,167,653,122,34.99,97.06
subsampling-scale-image-view,4262,15037,405,114,5740,72,59.19,208.85
kafdrop,4215,2417,552,132,2821,100,42.15,24.17
floatingsearchview,4170,20536,482,159,3548,135,30.89,152.12
sensitive-word,4145,3952,684,264,4678,225,18.42,17.56
MusicBot,4097,1924,627,233,985,93,44.05,20.69
rebound,4095,3337,381,115,3039,87,47.07,38.36
react-native-webrtc,4086,1942,410,77,584,67,60.99,28.99
android-mvp-architecture,4049,2590,849,202,2060,146,27.73,17.74
AndroidStaggeredGrid,4010,8718,211,67,5612,36,111.39,242.17
SuperTextView,4002,30479,262,100,12184,86,46.53,354.41
itstack-demo-design,3992,842,466,238,1145,215,18.57,3.92
RxJava2-Android-Samples,3992,2055,678,232,1163,185,21.58,11.11
HaE,3968,524,278,111,798,67,59.22,7.82
AndroidTutorialForBeginners,3957,1857,582,193,354,129,30.67,14.4
screw,3941,7203,678,184,713,136,28.98,52.96
google-authenticator,3935,11156,237,103,1809,61,64.51,182.89
newbee-mall,3935,1499,448,95,3107,89,44.21,16.84
groupie,3898,1181,474,170,2781,93,41.91,12.7
chatgpt-java,3866,5457,1355,221,2398,201,19.23,27.15
ysoserial,3851,1484,655,161,1067,120,32.09,12.37
GoGoGo,3813,1900,370,70,618,48,79.44,39.58
AndroidImageSlider,3813,10069,256,99,3723,63,60.52,159.83
Depth-LIB-Android-,3771,756,409,131,1442,108,34.92,7.0
frontend-maven-plugin,3717,519,554,171,698,99,37.55,5.24
DiscreteScrollView,3698,490,444,131,2007,105,35.22,4.67
Jetpack-MVVM-Best-Practice,3691,3254,576,193,1428,119,31.02,27.34
twoway-view,3688,1660,310,93,4416,51,72.31,32.55
ImagePicker,3685,2046,443,113,1754,76,48.49,26.92
material-calendarview,3658,6827,568,135,6073,88,41.57,77.58
Android-PullToRefresh,3567,7582,494,173,4579,82,43.5,92.46
rejoiner,3566,2638,867,206,645,131,27.22,20.14
InfiniteCycleViewPager,3564,6276,207,67,4204,41,86.93,153.07
PageIndicatorView,3532,573,397,108,1642,72,49.06,7.96
my-site,3496,2413,557,107,3152,90,38.84,26.81
LeetCode,3441,432,180,145,122,145,23.73,2.98
ShadowLayout,3437,5132,260,74,1405,65,52.88,78.95
Matisse,3418,1751,506,106,614,76,44.97,23.04
proxyee-down,3392,549,331,88,1171,60,56.53,9.15
MaterialEditText,3385,3231,147,34,19314,26,130.19,124.27
sqlbrite,3329,4594,498,144,456,106,31.41,43.34
AndroidPdfViewer,3328,2030,282,71,4377,57,58.39,35.61
AndroidVideoCache,3217,778,372,115,1103,77,41.78,10.1
PermissionsDispatcher,3184,156,193,146,4091,119,26.76,1.31
ARouter,3165,1983,362,138,1710,98,32.3,20.23
ActiveAndroid,3158,1589,337,108,1369,62,50.94,25.63
BannerViewPager,3154,1895,395,103,3491,73,43.21,25.96
libsvm,3152,1887,111,46,667,34,92.71,55.5
LeetCode-Book,3121,2244,344,258,22,258,12.1,8.7
SeeWeather,3101,858,522,163,649,106,29.25,8.09
SlidingMenu,3085,5740,379,145,3511,74,41.69,77.57
spring-reading,3078,1556,816,298,157,290,10.61,5.37
HTextView,3076,402,382,142,317,91,33.8,4.42
mybatis-generator-gui,3047,301,280,58,2728,39,78.13,7.72
effective-java-3e-source-code,3018,934,228,240,268,202,14.94,4.62
cameraview,2983,2754,348,91,873,72,41.43,38.25
vhr,2971,627,417,96,4543,94,31.61,6.67
emojicon,2971,954,201,61,264,39,76.18,24.46
Robust,2953,788,148,53,729,42,70.31,18.76
ViewPagerIndicator,2947,1399,397,179,1932,66,44.65,21.2
MaterialDesignLibrary,2927,648,372,149,554,82,35.7,7.9
AppUpdate,2925,5144,284,74,2377,64,45.7,80.38
android-gif-drawable,2920,3954,394,106,3823,64,45.62,61.78
so-novel,2871,805,487,95,214,81,35.44,9.94
BottomBar,2834,2180,324,85,4070,66,42.94,33.03
FloatingActionButton,2805,1195,218,65,6565,47,59.68,25.43
barcodescanner,2796,327,386,120,863,73,38.3,4.48
SpringBoot-Learning,2790,716,1198,276,391,269,10.37,2.66
midjourney-proxy,2787,1296,531,112,523,90,30.97,14.4
openai-java,2783,2377,889,179,2566,165,16.87,14.41
AndroidSwipeLayout,2770,2118,275,98,4359,74,37.43,28.62
RecyclerViewPager,2735,745,306,106,708,71,38.52,10.49
FlycoTabLayout,2730,657,213,51,7362,33,82.73,19.91
banner,2724,1561,444,134,3481,73,37.32,21.38
Spring-Boot-In-Action,2714,2293,518,150,805,134,20.25,17.11
Java,2697,1077,472,176,632,124,21.75,8.69
linuxdeploy,2693,843,265,61,1328,37,72.78,22.78
lanproxy,2668,977,267,75,517,63,42.35,15.51
oblivion,2641,463,327,86,674,58,45.53,7.98
RxJava-Android-Samples,2633,526,570,157,791,86,30.62,6.12
dynamic-load-apk,2620,1285,360,90,584,62,42.26,20.73
spring-boot-projects,2606,948,463,115,971,107,24.36,8.86
DesignPattern,2603,1561,500,252,281,197,13.21,7.92
bottomsheet,2578,4405,333,93,1881,68,37.91,64.78
analysis-ik,2571,1699,183,52,586,38,67.66,44.71
Linkage-RecyclerView,2552,1948,480,116,779,75,34.03,25.97
api-samples,2541,3543,269,42,184,42,60.5,84.36
NavigationTabBar,2538,4541,233,76,3335,58,43.76,78.29
BigImageViewer,2513,2347,387,108,1076,84,29.92,27.94
mini-spring,2472,1251,508,182,757,149,16.59,8.4
ForestBlog,2437,2057,439,92,1091,86,28.34,23.92
dexposed,2414,1918,105,61,2982,36,67.06,53.28
My-Blog,2411,487,276,61,1714,58,41.57,8.4
TakePhoto,2403,1192,278,69,599,55,43.69,21.67
Android-Debug-Database,2393,875,253,78,537,61,39.23,14.34
AndroidAutoLayout,2370,392,455,156,687,78,30.38,5.03
RxLifecycle,2368,1436,521,134,114,81,29.23,17.73
ahbottomnavigation,2339,4429,235,54,2644,46,50.85,96.28
guide-rpc-framework,2306,1222,439,115,113,95,24.27,12.86
learning-spark,2295,821,376,135,239,133,17.26,6.17
open-location-code,2295,1843,332,79,305,67,34.25,27.51
android-times-square,2286,3201,214,58,1216,47,48.64,68.11
LayoutManagerGroup,2285,830,312,99,576,63,36.27,13.17
Android-CleanArchitecture,2260,2813,540,150,706,105,21.52,26.79
Android-Touch-Helper,2257,2557,227,65,107,55,41.04,46.49
AndroidPerformanceMonitor,2234,1181,220,69,760,54,41.37,21.87
InstaMaterial,2223,232,383,123,795,80,27.79,2.9
marshalsec,2214,2307,526,131,1050,72,30.75,32.04
SmoothProgressBar,2208,314,233,59,1263,48,46.0,6.54
Dexter,2197,1887,354,96,332,80,27.46,23.59
AVLoadingIndicatorView,2161,459,328,164,621,92,23.49,4.99
JavaEETest,2133,664,542,169,503,154,13.85,4.31
BigData-Notes,2124,907,440,94,63,77,27.58,11.78
BGABanner-Android,2123,1438,265,84,1393,53,40.06,27.13
StickyListHeaders,2112,1406,207,60,171,43,49.12,32.7
leet-code,2109,3614,164,81,88,81,26.04,44.62
BottomNavigation,2091,2269,226,43,2078,30,69.7,75.63
ShowcaseView,2086,1830,350,91,1158,65,32.09,28.15
java8-tutorial,2081,517,91,88,344,88,23.65,5.88
android-zxingLibrary,2018,1704,245,69,293,52,38.81,32.77
AndroidSlidingUpPanel,2011,4616,84,23,2244,17,118.29,271.53
chatgpt-java,2010,1032,364,88,1007,69,29.13,14.96
Android-Week-View,2003,5275,98,34,6435,27,74.19,195.37
ASimpleCache,1993,2954,129,42,1117,29,68.72,101.86
otto,1987,3133,207,118,302,85,23.38,36.86
spring-boot-best-practice,1968,840,835,192,549,176,11.18,4.77
TapTargetView,1965,1633,176,45,1946,39,50.38,41.87
okhttputils,1961,551,261,102,434,70,28.01,7.87
BubbleSeekBar,1958,1476,147,39,2751,30,65.27,49.2
DiskLruCache,1937,1759,39,16,132,12,161.42,146.58
EffectiveAndroidUI,1923,2135,324,98,848,73,26.34,29.25
SmartTabLayout,1912,1881,286,74,437,45,42.49,41.8
dubbo-spring-boot-project,1908,2008,633,104,1062,89,21.44,22.56
NewbieGuide,1896,869,336,92,814,78,24.31,11.14
react-native-push-notification,1884,372,183,36,449,29,64.97,12.83
piggymetrics,1881,185,598,105,379,99,19.0,1.87
testing-samples,1849,2393,473,116,271,86,21.5,27.83
DSBridge-Android,1841,1070,140,52,751,47,39.17,22.77
flink-recommandSystem-demo,1835,481,287,83,493,77,23.83,6.25
QR-Code-generator,1823,2087,75,27,372,19,95.95,109.84
Android-SpinKit,1812,391,342,225,1528,71,25.52,5.51
AndroRAT,1793,48,158,64,76,55,32.6,0.87
PhotoView,1792,1062,213,61,1107,45,39.82,23.6
react-native-share,1792,333,229,85,353,41,43.71,8.12
packer-ng-plugin,1776,925,87,43,578,31,57.29,29.84
awesome-java-leetcode,1772,983,121,72,84,72,24.61,13.65
library,1770,24,835,128,668,123,14.39,0.2
BadgeView,1759,96,152,46,1746,35,50.26,2.74
JKeyboardPanelSwitch,1736,2310,260,65,369,50,34.72,46.2
AndroidAutoSize,1720,2942,265,69,1533,49,35.1,60.04
HomeMirror,1719,808,180,71,353,66,26.05,12.24
CircleIndicator,1712,177,293,73,383,45,38.04,3.93
easypermissions,1705,911,295,49,403,33,51.67,27.61
chuck,1698,711,245,58,2341,42,40.43,16.93
android-crop,1676,1021,133,43,821,31,54.06,32.94
springboot-learning-example,1641,1017,526,119,325,114,14.39,8.92
SwipeBackLayout,1635,3133,94,25,1104,18,90.83,174.06
MaterialViewPager,1616,1687,200,57,413,44,36.73,38.34
ticker,1581,1882,143,41,856,31,51.0,60.71
baseAdapter,1563,195,244,66,914,50,31.26,3.9
tiny-spring,1543,948,327,122,251,106,14.56,8.94
SwitchButton,1543,537,118,38,2227,27,57.15,19.89
springboot-guide,1522,450,572,164,188,139,10.95,3.24
UltraViewPager,1518,985,125,33,1401,24,63.25,41.04
LoadSir,1481,645,384,115,297,74,20.01,8.72
rabbitmq-tutorials,1480,576,234,51,117,51,29.02,11.29
FloatWindow,1473,285,166,56,428,44,33.48,6.48
RxAndroid,1452,1149,125,62,170,55,26.4,20.89
CircleProgress,1451,444,144,42,2144,25,58.04,17.76
xpay,1449,315,135,21,1962,21,69.0,15.0
Toaster,1433,881,160,47,1383,35,40.94,25.17
circular-progress-button,1429,81,155,50,988,39,36.64,2.08
TinyPinyin,1401,583,134,71,569,65,21.55,8.97
tech-weekly,1391,570,234,83,172,81,17.17,7.04
Android,1387,257,263,93,120,56,24.77,4.59
BottomNavigationViewEx,1371,2090,142,46,1454,29,47.28,72.07
MaterialSearchView,1361,1409,166,54,929,41,33.2,34.37
SwipeMenuListView,1347,986,145,48,503,33,40.82,29.88
Leaf,1305,256,139,57,450,40,32.62,6.4
spring-mvc-showcase,1281,201,300,70,548,58,22.09,3.47
RoundedImageView,1265,468,126,27,1612,15,84.33,31.2
GuideView,1246,962,131,48,288,35,35.6,27.49
GhidraMCP,1219,380,49,5,1377,3,406.33,126.67
PreviewSeekBar,1166,1024,130,27,648,23,50.7,44.52
JsBridge,1160,922,112,37,547,32,36.25,28.81
SpringCloudLearning,1123,753,651,150,78,143,7.85,5.27
AndroidWiFiADB,1096,452,86,45,364,30,36.53,15.07
Luban,1088,537,86,34,315,29,37.52,18.52
SwipeDelMenuLayout,1085,1283,124,50,208,40,27.12,32.08
dialogplus,1047,997,152,30,1678,29,36.1,34.38
StatusBarUtil,1036,712,137,51,744,33,31.39,21.58
SmartCropper,1021,481,75,16,1470,12,85.08,40.08
FloatingActionButton,1014,21,153,49,1015,27,37.56,0.78
Material-Animations,1010,98,198,66,214,45,22.44,2.18
RxJavaSamples,1001,59,241,74,85,53,18.89,1.11
glide-transformations,991,473,150,58,75,27,36.7,17.52
ShineButton,988,144,116,39,567,24,41.17,6.0
Phoenix,976,100,104,40,181,24,40.67,4.17
Calligraphy,968,1108,143,36,284,25,38.72,44.32
AndroidViewAnimations,965,1684,277,148,188,82,11.77,20.54
sweet-alert-dialog,943,123,70,20,497,16,58.94,7.69
android-stackblur,933,1051,72,45,24,41,22.76,25.63
WeChatLuckyMoney,931,153,113,29,185,21,44.33,7.29
BlurView,930,278,177,45,210,30,31.0,9.27
Music-Player,926,591,141,56,161,32,28.94,18.47
android-iconify,909,318,151,53,223,43,21.14,7.4
FizzBuzzEnterpriseEdition,894,771,264,91,21,91,9.82,8.47
CustomActivityOnCrash,893,1410,81,20,485,15,59.53,94.0
ShortcutBadger,885,347,164,36,108,31,28.55,11.19
shimmer-android,885,261,60,13,126,7,126.43,37.29
RxPermissions,876,678,93,22,202,20,43.8,33.9
uid-generator,873,1077,72,32,293,25,34.92,43.08
Android-ConvenientBanner,848,556,140,42,226,29,29.24,19.17
hawk,834,253,94,27,337,26,32.08,9.73
logger,827,350,105,21,269,18,45.94,19.44
folding-cell-android,812,647,87,28,281,21,38.67,30.81
react-native-image-picker,811,53,68,17,728,11,73.73,4.82
FlowLayout,810,140,147,48,170,34,23.82,4.12
sticky-headers-recyclerview,808,269,134,37,94,29,27.86,9.28
SystemBarTint,807,487,72,16,203,9,89.67,54.11
richeditor-android,804,412,104,49,2019,43,18.7,9.58
MarqueeView,804,292,119,30,120,22,36.55,13.27
VBlog,781,250,132,30,843,29,26.93,8.62
Skeleton,752,178,123,41,152,33,22.79,5.39
tech-interview-for-developer,636,38,17,13,12,13,48.92,2.92
Blurry,636,237,72,14,9,14,45.43,16.93
SpringBoot-Shiro-Vue,633,410,156,38,255,27,23.44,15.19
gradle-retrolambda,623,93,115,26,54,25,24.92,3.72
GravitySnapHelper,610,804,51,14,463,8,76.25,100.5
JustTrustMe,598,1615,69,32,73,27,22.15,59.81
GDA-android-reversing-Tool,567,44,41,16,918,16,35.44,2.75
ExpandableTextView,552,511,77,26,177,15,36.8,34.07
DropDownMenu,513,222,86,26,41,19,27.0,11.68
RippleEffect,504,672,65,26,440,19,26.53,35.37
blurkit-android,497,258,61,15,303,10,49.7,25.8
react-native-linear-gradient,488,222,98,31,203,19,25.68,11.68
Toasty,487,220,65,17,906,16,30.44,13.75
spring-boot-api-project-seed,484,132,75,19,146,15,32.27,8.8
android-lifecycle,481,14,42,10,910,6,80.17,2.33
android-hidden-api,478,700,32,4,226,4,119.5,175.0
CoordinatorTabLayout,473,213,90,24,160,17,27.82,12.53
android-autofittextview,470,632,43,11,326,8,58.75,79.0
Side-Menu.Android,449,66,70,22,74,18,24.94,3.67
react-native-config,428,232,105,32,45,23,18.61,10.09
Timeline-View,418,141,18,3,907,2,209.0,70.5
AndroidNote,402,234,39,11,65,8,50.25,29.25
spring-cloud-examples,390,20,230,61,28,60,6.5,0.33
JS-Sorting-Algorithm,389,100,43,12,34,12,32.42,8.33
hugo,384,5,40,8,194,7,54.86,0.71
NumberProgressBar,380,175,19,8,551,6,63.33,29.17
spring-analysis,378,186,80,41,59,33,11.45,5.64
ssm,369,107,79,32,39,19,19.42,5.63
CircleImageView,360,44,33,7,536,3,120.0,14.67
awesome-leetcode-resources,360,83,13,11,52,11,32.73,7.55
ExplosionField,343,96,49,15,43,10,34.3,9.6
awesome-system-design-resources,336,13,9,11,0,11,30.55,1.18
JGrowing,329,0,29,19,37,19,17.32,0.0
jimureport,300,236,81,13,28,12,25.0,19.67
androidmvp,274,138,46,18,42,14,19.57,9.86
SpringBootVulExploit,258,5,48,14,50,14,18.43,0.36
react-native-splash-screen,246,150,41,15,24,12,20.5,12.5
ViewPagerCards,240,15,48,14,20,9,26.67,1.67
sndcpy,214,6,31,8,81,4,53.5,1.5
ThreeTenABP,117,9,30,10,10,7,16.71,1.29
Android_Data,116,30,4,2,6,2,58.0,15.0
migration,101,6,17,12,1,12,8.42,0.5
LeetCodeAnimation,78,3,4,4,0,4,19.5,0.75
hello-algorithm,61,43,3,3,0,3,20.33,14.33
from-java-to-kotlin,37,0,1,2,0,2,18.5,0.0
android-tips-tricks,22,0,1,1,0,1,22.0,0.0
UltimateAndroidReference,22,0,1,1,0,1,22.0,0.0
JavaTutorial,14,9,1,3,1,3,4.67,3.0
source-code-hunter,5,3,0,1,0,1,5.0,3.0
android-interview-questions,5,0,0,1,0,1,5.0,0.0
jvm,5,3,0,1,0,1,5.0,3.0
java-developer-roadmap,5,0,0,1,0,1,5.0,0.0
advanced-java,5,3,0,1,0,1,5.0,3.0
GitHub-Chinese-Top-Charts,5,1,0,1,0,1,5.0,1.0
mit-deep-learning-book-pdf,2,0,0,1,0,1,2.0,0.0
